;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:03:41;8,53;449,6;1,1;383;186,0;25,8
;;;00:03:41;8,55;449,6;1,1;260;186,0;25,8
;;;00:03:42;8,58;449,6;1,1;254;186,0;25,8
;;;00:03:42;8,61;449,6;1,1;362;188,7;25,9
;;;00:03:43;8,64;449,6;1,1;418;189,3;26,0
;;;00:03:43;8,66;449,6;1,1;250;189,3;26,0
;;;00:03:43;8,68;449,6;1,1;302;187,1;26,0
;;;00:03:43;8,71;449,6;1,1;389;187,1;26,0
;;;00:03:44;8,73;449,6;1,1;310;187,1;26,0
;;;00:03:44;8,75;449,6;1,1;360;188,4;25,4
;;;00:03:44;8,78;449,6;1,1;350;189,3;25,0
;;;00:03:45;8,80;449,6;1,1;302;189,3;25,0
;;;00:03:45;8,82;449,6;1,1;365;187,1;25,5
;;;00:03:45;8,85;449,6;1,1;341;185,0;26,0
;;;00:03:46;8,87;449,6;1,1;350;185,0;26,0
;;;00:03:46;8,90;449,6;1,1;302;185,8;25,8
;;;00:03:46;8,92;449,6;1,1;365;189,3;25,0
;;;00:03:46;8,95;449,6;1,1;350;189,3;25,0
;;;00:03:47;8,97;449,6;1,1;350;189,3;25,0
;;;00:03:47;8,99;449,6;1,1;302;186,7;25,8
;;;00:03:47;9,02;449,6;1,1;311;186,0;26,0
;;;00:03:48;9,04;449,6;1,1;462;186,0;26,0
;;;00:03:48;9,07;449,6;1,1;311;186,7;26,0
;;;00:03:48;9,09;449,6;1,1;380;187,1;26,0
;;;00:03:49;9,12;449,6;1,1;302;187,1;26,0
;;;00:03:49;9,14;449,6;1,1;302;187,6;26,0
;;;00:03:49;9,17;449,6;1,1;389;188,2;26,0
;;;00:03:50;9,20;449,6;1,1;438;188,2;26,0
;;;00:03:50;9,22;449,6;1,1;240;188,2;26,0
;;;00:03:50;9,25;449,6;1,1;368;187,1;25,9
;;;00:03:51;9,28;449,6;1,1;418;187,1;25,9
;;;00:03:51;9,30;449,6;1,1;380;187,3;25,7
;;;00:03:51;9,33;449,6;1,1;331;188,2;24,8
;;;00:03:51;9,36;449,6;1,1;487;188,2;24,8
;;;00:03:52;9,38;449,6;1,1;341;188,2;24,8
;;;00:03:52;9,41;449,6;1,1;392;187,3;25,8
;;;00:03:53;9,44;449,6;1,1;408;187,1;26,0
;;;00:03:53;9,47;449,6;1,1;349;187,1;26,0
;;;00:03:53;9,49;449,6;1,1;311;188,8;26,0
;;;00:03:53;9,52;449,6;1,1;360;189,3;25,9
;;;00:03:54;9,54;449,6;1,1;414;189,3;25,9
;;;00:03:54;9,56;449,6;1,1;316;187,1;26,0
;;;00:03:54;9,59;449,6;1,1;389;185,0;26,0
;;;00:03:55;9,61;449,6;1,1;370;185,0;26,0
;;;00:03:55;9,64;449,6;1,1;418;185,0;26,0
;;;00:03:55;9,67;449,6;1,1;350;185,0;25,9
;;;00:03:55;9,69;449,6;1,1;365;185,0;25,9
;;;00:03:56;9,72;449,6;1,1;331;185,0;25,9
;;;00:03:56;9,74;449,6;1,1;418;183,7;26,6
;;;00:03:56;9,77;449,6;1,1;311;182,8;27,0
;;;00:03:57;9,80;449,6;1,1;311;182,8;27,0
;;;00:03:57;9,82;449,6;1,1;551;182,4;27,3
;;;00:03:57;9,86;449,6;1,1;373;181,7;27,9
;;;00:03:58;9,89;449,6;1,1;255;181,7;27,9
;;;00:03:58;9,92;449,6;1,1;365;181,7;27,3
;;;00:03:58;9,95;449,6;1,1;292;181,7;27,0
;;;00:03:59;9,98;449,6;1,1;389;181,7;27,0
;;;00:03:59;10,00;449,6;1,1;350;181,7;26,6
;;;00:03:59;10,03;449,6;1,1;389;181,7;25,9
;;;00:04:00;10,05;449,6;1,1;341;181,7;25,9
;;;00:04:00;10,08;449,6;1,1;380;182,6;26,4
;;;00:04:00;10,11;449,6;1,1;450;183,9;27,0
;;;00:04:01;10,14;449,6;1,1;350;183,9;27,0
;;;00:04:01;10,16;449,6;1,1;360;183,9;27,0
