Synthèse;;;;;;;;;;;
ID;Chantier;Contrat;Nom / numéro pieu;Diamètre;Date début;Fin pieu;Durée totale;Longueur pieu;Volume béton;Surconsommation;Coups
;;;; mm;;;; m; m3; %;
270;GOLDEN GLOVER;60159;P34;460;17.02.2021 15:37;17.02.2021 15:55;00:17:39;26.06;4.968;14;138
271;GOLDEN GLOVER;60159;P90;460;17.02.2021 15:11;17.02.2021 15:37;00:25:38;26.03;4.788;8;133
272;GOLDEN GLOVER;60159;P36;460;17.02.2021 14:40;17.02.2021 15:06;00:25:48;26.07;5.4;23;150
273;GOLDEN GLOVER;60159;P65;460;17.02.2021 14:00;17.02.2021 14:22;00:22:07;26.04;5.472;27;152
274;GOLDEN GLOVER;60159;P124;460;17.02.2021 13:31;17.02.2021 13:56;00:24:50;25.51;4.572;6;127
275;GOLDEN GLOVER;60159;P196;460;17.02.2021 11:49;17.02.2021 12:08;00:18:49;26.02;5.004;14;139
276;GOLDEN GLOVER;60159;P198;460;17.02.2021 10:50;17.02.2021 11:49;00:58:44;26.03;4.896;12;136
277;GOLDEN GLOVER;60159;P200;460;17.02.2021 10:24;17.02.2021 10:50;00:25:44;26.02;4.896;11;136
278;GOLDEN GLOVER;60159;P148;460;17.02.2021 09:40;17.02.2021 10:15;00:34:23;26.04;5.076;15;141
279;GOLDEN GLOVER;60159;P202;460;17.02.2021 09:18;17.02.2021 09:40;00:22:18;26.01;4.788;10;133
280;GOLDEN GLOVER;60159;P204;460;17.02.2021 08:54;17.02.2021 09:18;00:23:10;26.05;4.788;10;133
281;GOLDEN GLOVER;60159;P183;460;17.02.2021 08:17;17.02.2021 08:50;00:32:37;26.12;5.256;22;146
282;GOLDEN GLOVER;60159;201;460;16.02.2021 16:06;16.02.2021 16:37;00:30:49;26.02;4.788;11;133
283;GOLDEN GLOVER;60159;203;460;16.02.2021 15:44;16.02.2021 16:06;00:21:35;26.01;4.788;9;133
284;GOLDEN GLOVER;60159;205;460;16.02.2021 15:02;16.02.2021 15:42;00:39:19;26.01;4.896;11;136
285;GOLDEN GLOVER;60159;118;460;16.02.2021 14:19;16.02.2021 14:52;00:33:06;26.02;4.68;9;130
286;GOLDEN GLOVER;60159;121;460;16.02.2021 13:35;16.02.2021 14:16;00:41:04;26.01;4.932;11;137
287;GOLDEN GLOVER;60159;126;460;16.02.2021 11:52;16.02.2021 13:35;01:42:53;26.02;4.824;10;134
288;GOLDEN GLOVER;60159;185;460;16.02.2021 11:09;16.02.2021 11:52;00:43:06;26.03;4.788;10;133
289;GOLDEN GLOVER;60159;31;460;16.02.2021 10:03;16.02.2021 11:09;01:05:55;26.02;4.896;14;136
290;GOLDEN GLOVER;60159;33;460;16.02.2021 09:32;16.02.2021 09:56;00:23:29;26.03;4.968;14;138
291;GOLDEN GLOVER;60159;35;460;16.02.2021 09:09;16.02.2021 09:28;00:18:45;26.08;4.896;12;136
292;GOLDEN GLOVER;60159;37;460;16.02.2021 07:51;16.02.2021 09:00;01:09:51;26.01;5.112;17;142
293;GOLDEN GLOVER;60159;39;460;15.02.2021 15:54;15.02.2021 16:14;00:19:53;26.03;5.004;16;139
294;GOLDEN GLOVER;60159;41;460;15.02.2021 14:42;15.02.2021 15:45;01:03:29;26.01;5.112;18;142
295;GOLDEN GLOVER;60159;P38;460;12.02.2021 15:55;12.02.2021 16:26;00:31:08;26.02;6.156;22;171
296;GOLDEN GLOVER;60159;P40;460;12.02.2021 15:23;12.02.2021 15:55;00:31:25;26.03;5.148;13;143
297;GOLDEN GLOVER;60159;P42;460;12.02.2021 14:34;12.02.2021 15:03;00:29:01;26.02;4.824;9;134
298;GOLDEN GLOVER;60159;P213-1;460;12.02.2021 13:48;12.02.2021 14:30;00:42:03;26.02;5.04;11;140
299;GOLDEN GLOVER;60159;P213;460;12.02.2021 13:24;12.02.2021 13:48;00:23:57;26.01;1.728;-70;48
