;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:01:59;8,64;100,4;1,0;365;105,8;19,9
;;;00:01:59;8,67;100,4;1,0;311;105,8;19,9
;;;00:02:00;8,69;100,4;1,0;321;106,5;20,0
;;;00:02:00;8,71;100,4;1,0;321;106,9;20,0
;;;00:02:00;8,73;100,4;1,0;272;106,9;20,0
;;;00:02:00;8,76;100,4;1,0;353;106,9;20,2
;;;00:02:01;8,78;100,4;1,0;292;106,9;20,9
;;;00:02:01;8,80;100,4;1,0;350;106,9;20,9
;;;00:02:01;8,82;100,4;1,0;282;106,7;20,9
;;;00:02:02;8,85;100,4;1,0;282;105,8;21,0
;;;00:02:02;8,87;100,4;1,0;389;105,8;21,0
;;;00:02:02;8,89;100,4;1,0;292;105,8;21,0
;;;00:02:03;8,91;100,4;1,0;370;105,8;20,9
;;;00:02:03;8,93;100,4;1,0;272;105,8;20,9
;;;00:02:03;8,96;100,4;1,0;511;105,8;20,9
;;;00:02:04;8,99;100,4;1,0;292;106,3;20,9
;;;00:02:04;9,01;100,4;1,0;282;106,9;21,0
;;;00:02:04;9,04;100,4;1,0;270;106,9;21,0
;;;00:02:05;9,06;100,4;1,0;227;106,9;21,0
;;;00:02:05;9,08;100,4;1,0;302;106,9;21,0
;;;00:02:05;9,10;100,4;1,0;282;106,9;21,0
;;;00:02:06;9,13;100,4;1,0;282;107,4;20,6
;;;00:02:06;9,15;100,4;1,0;341;108,0;20,0
;;;00:02:06;9,17;100,4;1,0;292;108,0;20,0
;;;00:02:06;9,19;100,4;1,0;370;108,0;20,0
;;;00:02:07;9,22;100,4;1,0;282;108,0;19,9
;;;00:02:07;9,24;100,4;1,0;353;108,0;19,9
;;;00:02:07;9,26;100,4;1,0;272;108,0;19,9
;;;00:02:08;9,28;100,4;1,0;311;107,1;20,8
;;;00:02:08;9,30;100,4;1,0;321;106,9;21,0
;;;00:02:08;9,32;100,4;1,0;272;106,9;21,0
;;;00:02:09;9,35;100,4;1,0;414;107,5;20,9
;;;00:02:09;9,37;100,4;1,0;292;108,0;20,9
;;;00:02:09;9,39;100,4;1,0;311;108,0;20,9
;;;00:02:09;9,41;100,4;1,0;302;108,0;20,9
;;;00:02:10;9,44;100,4;1,0;272;108,0;21,0
;;;00:02:10;9,46;100,4;1,0;377;108,0;21,0
;;;00:02:10;9,49;100,4;1,0;370;108,0;21,0
;;;00:02:11;9,51;100,4;1,0;285;108,0;20,9
;;;00:02:11;9,53;100,4;1,0;324;108,0;20,9
;;;00:02:11;9,55;100,4;1,0;282;108,0;20,9
;;;00:02:12;9,58;100,4;1,0;389;108,0;20,2
;;;00:02:12;9,60;100,4;1,0;272;108,0;20,0
;;;00:02:12;9,62;100,4;1,0;321;108,0;20,0
;;;00:02:13;9,64;100,4;1,0;292;108,4;20,0
;;;00:02:13;9,67;100,4;1,0;302;109,1;19,9
;;;00:02:13;9,69;100,4;1,0;341;109,1;19,9
;;;00:02:13;9,71;100,4;1,0;272;109,1;20,1
;;;00:02:14;9,73;100,4;1,0;360;109,1;21,0
;;;00:02:14;9,75;100,4;1,0;272;109,1;21,0
;;;00:02:14;9,78;100,4;1,0;331;109,1;21,0
;;;00:02:15;9,80;100,4;1,0;341;110,2;20,0
;;;00:02:15;9,82;100,4;1,0;302;110,2;20,0
;;;00:02:15;9,84;100,4;1,0;331;110,2;20,0
;;;00:02:16;9,87;100,4;1,0;292;110,8;20,0
;;;00:02:16;9,89;100,4;1,0;272;111,2;20,0
;;;00:02:16;9,91;100,4;1,0;377;111,2;20,0
;;;00:02:17;9,93;100,4;1,0;331;111,2;20,0
;;;00:02:17;9,96;100,4;1,0;292;111,2;20,0
;;;00:02:17;9,98;100,4;1,0;389;111,2;20,0
;;;00:02:17;10,00;100,4;1,0;253;111,2;20,0
;;;00:02:18;10,02;100,4;1,0;272;111,2;19,9
;;;00:02:18;10,05;100,4;1,0;249;111,2;19,9
;;;00:02:18;10,08;100,4;1,0;311;111,2;19,9
;;;00:02:19;10,10;100,4;1,0;204;112,1;20,7
;;;00:02:19;10,12;100,4;1,0;365;112,3;20,9
;;;00:02:19;10,14;100,4;1,0;253;112,3;20,9
;;;00:02:20;10,17;100,4;1,0;272;112,3;21,0
;;;00:02:20;10,19;100,4;1,0;302;112,3;21,0
;;;00:02:20;10,21;100,4;1,0;341;112,3;21,0
;;;00:02:20;10,23;100,4;1,0;302;112,3;21,0
;;;00:02:21;10,26;100,4;1,0;311;112,3;20,9
;;;00:02:21;10,28;100,4;1,0;321;112,3;20,9
;;;00:02:21;10,30;100,4;1,0;282;112,3;20,9
;;;00:02:22;10,32;100,4;1,0;353;113,4;20,0
;;;00:02:22;10,35;100,4;1,0;272;113,4;20,0
